Site,Mosaic.File.Name,No.Flight.Lines,Mosaic.Sensor,Mosaic.Acq.Date,Mosaic.Acq.Time.Start,Mosaic.Acq.Time.Stop,Mosaic.Creator,Mosaic.Path,Mosaic.File.Format,Sentinel2.Scene,Sentinel3.Scene,Red.Band,Green.Band,Blue.Band,Longitude,Latitude
01_Italy_Coast,20180607-COA-0848-0915-1800-MOSAIC-DUAL_radiance_img_atm_pol_smcorr-rect_BT_2021-04-15,4,HyPlant,20180607,08:48,09:15,brittth,D:/FLEXsense/01_Italy_Coast/03_Airborne_data/201800607/01_HyPlant_DUAL/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,172,111,70,11.0092734,42.73262992
02_Italy_Grosseto,20180730-S3IT-1135-1149-3050-MOSAIC-DUAL_radiance_img_atm_pol_smcorr-rect,6,HyPlant,20180730,11:35,11:49,FLEX,D:/FLEXsense/02_Italy_Grosseto/03_Airborne_data/20180730/01_HyPlant_DUAL/01_TOC_Reflectance/02_Mosaic/,bsq + hdr,S2B_MSIL2A_20180802T101019_N0208_R022_T32TPN_20180926T110335,S3A_SY_2_SYN____20180730T095032_20180730T095332_20191115T113936_0179_034_079______LR1_D_N,172,111,70,11.14076078,42.86532049
02_Italy_Grosseto,M0189_Gross_180616_a01-02c_v1_Part_0-1_refl_BT_2021-03-24,4,APEX,20180616,unknown,unknown,brittth,D:/FLEXsense/02_Italy_Grosseto/03_Airborne_data/20180616/01_APEX/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,47,18,8,11.12257473,42.87402471
02_Italy_Grosseto,M0216_Gross_180704_a01-06c_v1_Part_0-4_refl_BT_2021-03-26,22,APEX,20180704,unknown,unknown,brittth,D:/FLEXsense/02_Italy_Grosseto/03_Airborne_data/20180704_BT/01_APEX/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,47,18,8,11.13025808,42.8685691
02_Italy_Grosseto,20180718-S3IT-1150-1525-3050-MOSAIC-DUAL_radiance_img_atm_pol_smcorr-rect_BT_2021-03-29,44,HyPlant,20180718,11:55,15:25,brittth,D:/FLEXsense/02_Italy_Grosseto/03_Airborne_data/20180718/01_HyPlant_DUAL/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,172,111,70,11.15062671,42.86681941
02_Italy_Grosseto,M0231_Gross_180731_a06-8c_v1_Part_0-1_refl_BT_2021-03-24,4,APEX,20180731,unknown,unknown,brittth,D:/FLEXsense/02_Italy_Grosseto/03_Airborne_data/20180731/01_APEX/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,47,18,8,11.10347841,42.85536808
02_Italy_Grosseto,M0231_Gross_180731_a01-8c_v1_Part_0-2_refl_BT_2021-03-25,21,APEX,20180731,unknown,unknown,brittth,D:/FLEXsense/02_Italy_Grosseto/03_Airborne_data/20180731/01_APEX/01_TOC_Reflectance_BT_moreLines/02_Mosaic/,gri + grd,TBC,TBC,47,18,8,11.13038895,42.87066479
03_France_OHP,20180710-S3FR-3050-MOSAIC-DUAL_radiance_img_atm_pol_smcorr-rect,4,HyPlant,20180710,12:09,12:22,FLEX,D:/FLEXsense/03_France_OHP/03_Airborne_data/20180710/01_HyPlant_DUAL/01_TOC_Reflectance/02_Mosaic/,bsq + hdr,S2B_MSIL2A_20180709T103019_N0208_R108_T31TGJ_20180709T164024,TBC,172,111,70,5.774398476,43.99280276
03_France_OHP,20180710-OHP-1059-1338-1200-1800-MOSAIC-DUAL_radiance_img_atm_pol_smcorr-rect_BT_2021-03-31,15,HyPlant,20180710,10:59,13:38,brittth,D:/FLEXsense/03_France_OHP/03_Airborne_data/20180710/01_HyPlant_DUAL/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,172,111,70,5.795159957,44.04701721
04_Germany_CKA,20180802-CKA-1326-1329-600-MOSAIC-DUAL_radiance_img_atm_pol_smcorr-rect_BT_2021-04-13,2,HyPlant,20180802,13:26,13:29,brittth,D:/FLEXsense/04_Germany_CKA/03_Airborne_data/20180802/01_HyPlant_DUAL/01_TOC_Reflectance/02_Mosaic/,gri + grd,TBC,TBC,172,111,70,7.028338175,50.62919131
